_id,Closed Status,Duration,Start Station Id,Start Date,Start Station Name,End Date,End Station Id,End Station Name,Rider Type
31,NORMAL,444,55,2024-03-31T22:24:10,Brighton Rd & Pennsylvania Ave,2024-03-31T22:31:34,40,7th St & Penn Ave,MEMBER
32,NORMAL,594,20,2024-03-31T22:23:01,Boulevard of the Allies & Parkview Ave,2024-03-31T22:32:55,34,N Dithridge St & Centre Ave,MEMBER
33,NORMAL,469,13,2024-03-31T22:22:52,S Bouquet Ave & Sennott St,2024-03-31T22:30:41,13,S Bouquet Ave & Sennott St,MEMBER
34,NORMAL,240,29,2024-03-31T22:16:12,Forbes Ave & Schenley Dr,2024-03-31T22:20:12,34,N Dithridge St & Centre Ave,MEMBER
35,NORMAL,281,28,2024-03-31T22:11:41,Fifth Ave & S Bouquet St,2024-03-31T22:16:22,20,Boulevard of the Allies & Parkview Ave,MEMBER
36,NORMAL,383,49,2024-03-31T22:11:06,Technology Dr & Bates St,2024-03-31T22:17:29,26,S 27th St & Sidney St. (Southside Works),MEMBER
37,NORMAL,391,49,2024-03-31T22:10:58,Technology Dr & Bates St,2024-03-31T22:17:29,26,S 27th St & Sidney St. (Southside Works),MEMBER
38,NORMAL,394,11,2024-03-31T22:10:49,Ellsworth Ave & N Neville St,2024-03-31T22:17:23,50,Atwood St & Bates St,MEMBER
39,NORMAL,1544,20,2024-03-31T22:07:30,Boulevard of the Allies & Parkview Ave,2024-03-31T22:33:14,20,Boulevard of the Allies & Parkview Ave,MEMBER
40,NORMAL,1763,10,2024-03-31T22:07:16,Zulema St & Coltart Ave,2024-03-31T22:36:39,28,Fifth Ave & S Bouquet St,MEMBER
41,NORMAL,1908,51,2024-03-31T22:04:40,Coltart Ave & Forbes Ave,2024-03-31T22:36:28,28,Fifth Ave & S Bouquet St,MEMBER
42,GRACE_PERIOD,22,51,2024-03-31T22:03:48,Coltart Ave & Forbes Ave,2024-03-31T22:04:10,51,Coltart Ave & Forbes Ave,MEMBER
43,NORMAL,182,51,2024-03-31T22:03:25,Coltart Ave & Forbes Ave,2024-03-31T22:06:27,10,Zulema St & Coltart Ave,MEMBER
44,NORMAL,476,12,2024-03-31T22:02:35,O'Hara St and University Place,2024-03-31T22:10:31,20,Boulevard of the Allies & Parkview Ave,MEMBER
45,NORMAL,476,12,2024-03-31T22:02:20,O'Hara St and University Place,2024-03-31T22:10:16,20,Boulevard of the Allies & Parkview Ave,MEMBER
46,NORMAL,196,13,2024-03-31T22:00:54,S Bouquet Ave & Sennott St,2024-03-31T22:04:10,20,Boulevard of the Allies & Parkview Ave,MEMBER
47,NORMAL,253,29,2024-03-31T22:00:18,Forbes Ave & Schenley Dr,2024-03-31T22:04:31,51,Coltart Ave & Forbes Ave,MEMBER
48,NORMAL,993,34,2024-03-31T21:57:48,N Dithridge St & Centre Ave,2024-03-31T22:14:21,34,N Dithridge St & Centre Ave,MEMBER
49,NORMAL,237,38,2024-03-31T21:57:04,Allequippa St & Darragh St,2024-03-31T22:01:01,50,Atwood St & Bates St,MEMBER
50,GRACE_PERIOD,59,38,2024-03-31T21:55:55,Allequippa St & Darragh St,2024-03-31T21:56:54,38,Allequippa St & Darragh St,MEMBER
51,NORMAL,181,50,2024-03-31T21:49:54,Atwood St & Bates St,2024-03-31T21:52:55,20,Boulevard of the Allies & Parkview Ave,MEMBER
52,NORMAL,4398,41,2024-03-31T21:47:53,S 22nd St & Sidney St,2024-03-31T23:01:11,26,S 27th St & Sidney St. (Southside Works),CASUAL
53,NORMAL,4492,41,2024-03-31T21:47:29,S 22nd St & Sidney St,2024-03-31T23:02:21,26,S 27th St & Sidney St. (Southside Works),CASUAL
54,NORMAL,4446,41,2024-03-31T21:47:25,S 22nd St & Sidney St,2024-03-31T23:01:31,26,S 27th St & Sidney St. (Southside Works),CASUAL
55,NORMAL,4457,41,2024-03-31T21:47:14,S 22nd St & Sidney St,2024-03-31T23:01:31,26,S 27th St & Sidney St. (Southside Works),CASUAL
56,NORMAL,4524,41,2024-03-31T21:46:57,S 22nd St & Sidney St,2024-03-31T23:02:21,26,S 27th St & Sidney St. (Southside Works),CASUAL
57,NORMAL,2172,41,2024-03-31T21:46:38,S 22nd St & Sidney St,2024-03-31T22:22:50,26,S 27th St & Sidney St. (Southside Works),CASUAL
58,NORMAL,2229,41,2024-03-31T21:46:14,S 22nd St & Sidney St,2024-03-31T22:23:23,26,S 27th St & Sidney St. (Southside Works),CASUAL
59,NORMAL,306,51,2024-03-31T21:44:54,Coltart Ave & Forbes Ave,2024-03-31T21:50:00,50,Atwood St & Bates St,MEMBER
60,NORMAL,1023,16,2024-03-31T21:42:26,Penn Ave & Putnam St (Bakery Square),2024-03-31T21:59:29,50,Atwood St & Bates St,MEMBER
61,NORMAL,349,38,2024-03-31T21:40:42,Allequippa St & Darragh St,2024-03-31T21:46:31,50,Atwood St & Bates St,MEMBER
62,NORMAL,80,51,2024-03-31T21:37:32,Coltart Ave & Forbes Ave,2024-03-31T21:38:52,10,Zulema St & Coltart Ave,MEMBER
63,NORMAL,1286,8,2024-03-31T21:35:54,Glasshouse,2024-03-31T21:57:20,8,Glasshouse,CASUAL
64,NORMAL,1396,8,2024-03-31T21:34:44,Glasshouse,2024-03-31T21:58:00,8,Glasshouse,CASUAL
65,NORMAL,180,29,2024-03-31T21:33:36,Forbes Ave & Schenley Dr,2024-03-31T21:36:36,50,Atwood St & Bates St,MEMBER
66,NORMAL,755,29,2024-03-31T21:32:25,Forbes Ave & Schenley Dr,2024-03-31T21:45:00,29,Forbes Ave & Schenley Dr,MEMBER
67,NORMAL,757,29,2024-03-31T21:32:23,Forbes Ave & Schenley Dr,2024-03-31T21:45:00,29,Forbes Ave & Schenley Dr,MEMBER
68,NORMAL,910,26,2024-03-31T21:31:58,S 27th St & Sidney St. (Southside Works),2024-03-31T21:47:08,41,S 22nd St & Sidney St,CASUAL
69,NORMAL,839,26,2024-03-31T21:31:30,S 27th St & Sidney St. (Southside Works),2024-03-31T21:45:29,41,S 22nd St & Sidney St,CASUAL
70,NORMAL,970,26,2024-03-31T21:31:21,S 27th St & Sidney St. (Southside Works),2024-03-31T21:47:31,41,S 22nd St & Sidney St,CASUAL
71,NORMAL,861,26,2024-03-31T21:31:02,S 27th St & Sidney St. (Southside Works),2024-03-31T21:45:23,41,S 22nd St & Sidney St,CASUAL
72,NORMAL,137,13,2024-03-31T21:30:58,S Bouquet Ave & Sennott St,2024-03-31T21:33:15,50,Atwood St & Bates St,MEMBER
73,NORMAL,941,26,2024-03-31T21:30:49,S 27th St & Sidney St. (Southside Works),2024-03-31T21:46:30,41,S 22nd St & Sidney St,CASUAL
74,NORMAL,192,28,2024-03-31T21:30:20,Fifth Ave & S Bouquet St,2024-03-31T21:33:32,10,Zulema St & Coltart Ave,MEMBER
75,NORMAL,944,13,2024-03-31T21:30:12,S Bouquet Ave & Sennott St,2024-03-31T21:45:56,26,S 27th St & Sidney St. (Southside Works),MEMBER
76,NORMAL,299,15,2024-03-31T21:29:57,Ivy St & Walnut St,2024-03-31T21:34:56,16,Penn Ave & Putnam St (Bakery Square),MEMBER
77,NORMAL,615,26,2024-03-31T21:29:44,S 27th St & Sidney St. (Southside Works),2024-03-31T21:39:59,39,S 12th St & E Carson St,MEMBER
78,NORMAL,420,20,2024-03-31T21:28:33,Boulevard of the Allies & Parkview Ave,2024-03-31T21:35:33,20,Boulevard of the Allies & Parkview Ave,MEMBER
79,NORMAL,880,30,2024-03-31T21:27:13,Shady Ave & Ellsworth Ave,2024-03-31T21:41:53,7,Liberty Ave & Gross St,MEMBER
80,NORMAL,149,13,2024-03-31T21:26:15,S Bouquet Ave & Sennott St,2024-03-31T21:28:44,51,Coltart Ave & Forbes Ave,MEMBER
81,NORMAL,363,13,2024-03-31T21:22:59,S Bouquet Ave & Sennott St,2024-03-31T21:29:02,38,Allequippa St & Darragh St,MEMBER
82,NORMAL,692,59,2024-03-31T21:21:03,Forbes Ave at TCS Hall (CMU Campus),2024-03-31T21:32:35,36,Penn Ave & S Pacific Ave,MEMBER
83,NORMAL,388,13,2024-03-31T21:20:43,S Bouquet Ave & Sennott St,2024-03-31T21:27:11,34,N Dithridge St & Centre Ave,MEMBER
84,NORMAL,244,34,2024-03-31T21:18:33,N Dithridge St & Centre Ave,2024-03-31T21:22:37,28,Fifth Ave & S Bouquet St,MEMBER
85,NORMAL,121,13,2024-03-31T21:13:55,S Bouquet Ave & Sennott St,2024-03-31T21:15:56,50,Atwood St & Bates St,MEMBER
86,NORMAL,166,13,2024-03-31T21:13:50,S Bouquet Ave & Sennott St,2024-03-31T21:16:36,10,Zulema St & Coltart Ave,MEMBER
87,NORMAL,752,26,2024-03-31T21:13:06,S 27th St & Sidney St. (Southside Works),2024-03-31T21:25:38,26,S 27th St & Sidney St. (Southside Works),CASUAL
88,NORMAL,1389,13,2024-03-31T21:12:19,S Bouquet Ave & Sennott St,2024-03-31T21:35:28,13,S Bouquet Ave & Sennott St,MEMBER
89,NORMAL,556,20,2024-03-31T21:10:44,Boulevard of the Allies & Parkview Ave,2024-03-31T21:20:00,34,N Dithridge St & Centre Ave,MEMBER
90,NORMAL,140,38,2024-03-31T21:06:54,Allequippa St & Darragh St,2024-03-31T21:09:14,28,Fifth Ave & S Bouquet St,MEMBER
91,NORMAL,1326,26,2024-03-31T21:05:36,S 27th St & Sidney St. (Southside Works),2024-03-31T21:27:42,26,S 27th St & Sidney St. (Southside Works),CASUAL
92,GRACE_PERIOD,22,26,2024-03-31T21:04:52,S 27th St & Sidney St. (Southside Works),2024-03-31T21:05:14,26,S 27th St & Sidney St. (Southside Works),CASUAL
93,NORMAL,1378,26,2024-03-31T21:04:44,S 27th St & Sidney St. (Southside Works),2024-03-31T21:27:42,26,S 27th St & Sidney St. (Southside Works),CASUAL
94,NORMAL,2484,26,2024-03-31T21:04:00,S 27th St & Sidney St. (Southside Works),2024-03-31T21:45:24,41,S 22nd St & Sidney St,CASUAL
95,NORMAL,795,15,2024-03-31T21:01:20,Ivy St & Walnut St,2024-03-31T21:14:35,10,Zulema St & Coltart Ave,MEMBER
96,NORMAL,1051,34,2024-03-31T21:00:37,N Dithridge St & Centre Ave,2024-03-31T21:18:08,50,Atwood St & Bates St,CASUAL
97,NORMAL,1190,10,2024-03-31T20:59:58,Zulema St & Coltart Ave,2024-03-31T21:19:48,10,Zulema St & Coltart Ave,MEMBER
98,NORMAL,326,38,2024-03-31T20:59:37,Allequippa St & Darragh St,2024-03-31T21:05:03,13,S Bouquet Ave & Sennott St,MEMBER
99,NORMAL,151,12,2024-03-31T20:56:42,O'Hara St and University Place,2024-03-31T20:59:13,34,N Dithridge St & Centre Ave,MEMBER
100,NORMAL,486,15,2024-03-31T20:52:49,Ivy St & Walnut St,2024-03-31T21:00:55,34,N Dithridge St & Centre Ave,MEMBER
101,NORMAL,250,51,2024-03-31T20:51:59,Coltart Ave & Forbes Ave,2024-03-31T20:56:09,20,Boulevard of the Allies & Parkview Ave,MEMBER
102,NORMAL,122,13,2024-03-31T20:51:45,S Bouquet Ave & Sennott St,2024-03-31T20:53:47,50,Atwood St & Bates St,MEMBER
103,NORMAL,138,13,2024-03-31T20:51:35,S Bouquet Ave & Sennott St,2024-03-31T20:53:53,50,Atwood St & Bates St,MEMBER
104,NORMAL,569,15,2024-03-31T20:45:43,Ivy St & Walnut St,2024-03-31T20:55:12,34,N Dithridge St & Centre Ave,MEMBER
105,NORMAL,584,15,2024-03-31T20:45:32,Ivy St & Walnut St,2024-03-31T20:55:16,34,N Dithridge St & Centre Ave,MEMBER
106,NORMAL,160,13,2024-03-31T20:39:44,S Bouquet Ave & Sennott St,2024-03-31T20:42:24,50,Atwood St & Bates St,MEMBER
107,NORMAL,89,13,2024-03-31T20:39:43,S Bouquet Ave & Sennott St,2024-03-31T20:41:12,50,Atwood St & Bates St,MEMBER
108,NORMAL,323,34,2024-03-31T20:37:44,N Dithridge St & Centre Ave,2024-03-31T20:43:07,13,S Bouquet Ave & Sennott St,MEMBER
109,NORMAL,277,48,2024-03-31T20:37:44,S Millvale Ave & Centre Ave,2024-03-31T20:42:21,12,O'Hara St and University Place,MEMBER
110,NORMAL,1711,56,2024-03-31T20:33:54,Rosetta St & N Aiken Ave,2024-03-31T21:02:25,36,Penn Ave & S Pacific Ave,CASUAL
111,NORMAL,338,34,2024-03-31T20:32:53,N Dithridge St & Centre Ave,2024-03-31T20:38:31,13,S Bouquet Ave & Sennott St,MEMBER
112,NORMAL,164,51,2024-03-31T20:32:31,Coltart Ave & Forbes Ave,2024-03-31T20:35:15,13,S Bouquet Ave & Sennott St,MEMBER
113,NORMAL,773,12,2024-03-31T20:30:59,O'Hara St and University Place,2024-03-31T20:43:52,37,S Negley Ave & Centre Ave,MEMBER
114,NORMAL,840,30,2024-03-31T20:30:50,Shady Ave & Ellsworth Ave,2024-03-31T20:44:50,29,Forbes Ave & Schenley Dr,MEMBER
115,NORMAL,955,28,2024-03-31T20:30:28,Fifth Ave & S Bouquet St,2024-03-31T20:46:23,15,Ivy St & Walnut St,CASUAL
116,NORMAL,958,28,2024-03-31T20:30:20,Fifth Ave & S Bouquet St,2024-03-31T20:46:18,15,Ivy St & Walnut St,CASUAL
117,NORMAL,913,30,2024-03-31T20:29:43,Shady Ave & Ellsworth Ave,2024-03-31T20:44:56,29,Forbes Ave & Schenley Dr,MEMBER
118,NORMAL,349,20,2024-03-31T20:29:13,Boulevard of the Allies & Parkview Ave,2024-03-31T20:35:02,13,S Bouquet Ave & Sennott St,MEMBER
119,NORMAL,1017,28,2024-03-31T20:28:53,Fifth Ave & S Bouquet St,2024-03-31T20:45:50,15,Ivy St & Walnut St,MEMBER
120,NORMAL,1033,28,2024-03-31T20:28:53,Fifth Ave & S Bouquet St,2024-03-31T20:46:06,15,Ivy St & Walnut St,MEMBER
121,NORMAL,288,16,2024-03-31T20:28:43,Penn Ave & Putnam St (Bakery Square),2024-03-31T20:33:31,15,Ivy St & Walnut St,MEMBER
122,NORMAL,1596,22,2024-03-31T20:25:41,Forbes Ave & Market Square,2024-03-31T20:52:17,29,Forbes Ave & Schenley Dr,MEMBER
123,NORMAL,1597,22,2024-03-31T20:25:37,Forbes Ave & Market Square,2024-03-31T20:52:14,29,Forbes Ave & Schenley Dr,MEMBER
124,NORMAL,226,13,2024-03-31T20:23:53,S Bouquet Ave & Sennott St,2024-03-31T20:27:39,50,Atwood St & Bates St,MEMBER
125,NORMAL,279,38,2024-03-31T20:23:26,Allequippa St & Darragh St,2024-03-31T20:28:05,50,Atwood St & Bates St,MEMBER
126,NORMAL,505,28,2024-03-31T20:23:11,Fifth Ave & S Bouquet St,2024-03-31T20:31:36,48,S Millvale Ave & Centre Ave,MEMBER
127,GRACE_PERIOD,22,13,2024-03-31T20:23:11,S Bouquet Ave & Sennott St,2024-03-31T20:23:33,13,S Bouquet Ave & Sennott St,MEMBER
128,NORMAL,212,20,2024-03-31T20:22:31,Boulevard of the Allies & Parkview Ave,2024-03-31T20:26:03,13,S Bouquet Ave & Sennott St,MEMBER
129,NORMAL,255,20,2024-03-31T20:21:44,Boulevard of the Allies & Parkview Ave,2024-03-31T20:25:59,13,S Bouquet Ave & Sennott St,MEMBER
130,NORMAL,308,13,2024-03-31T20:20:24,S Bouquet Ave & Sennott St,2024-03-31T20:25:32,34,N Dithridge St & Centre Ave,MEMBER
131,NORMAL,200,34,2024-03-31T20:19:53,N Dithridge St & Centre Ave,2024-03-31T20:23:13,12,O'Hara St and University Place,MEMBER
132,NORMAL,303,12,2024-03-31T20:19:09,O'Hara St and University Place,2024-03-31T20:24:12,28,Fifth Ave & S Bouquet St,MEMBER
133,NORMAL,482,21,2024-03-31T20:17:25,Liberty Ave & Stanwix St,2024-03-31T20:25:27,22,Forbes Ave & Market Square,MEMBER
134,NORMAL,476,21,2024-03-31T20:17:22,Liberty Ave & Stanwix St,2024-03-31T20:25:18,22,Forbes Ave & Market Square,MEMBER
135,NORMAL,200,10,2024-03-31T20:15:56,Zulema St & Coltart Ave,2024-03-31T20:19:16,13,S Bouquet Ave & Sennott St,MEMBER
136,NORMAL,94,10,2024-03-31T20:14:39,Zulema St & Coltart Ave,2024-03-31T20:16:13,51,Coltart Ave & Forbes Ave,MEMBER
137,NORMAL,287,13,2024-03-31T20:12:36,S Bouquet Ave & Sennott St,2024-03-31T20:17:23,20,Boulevard of the Allies & Parkview Ave,MEMBER
138,NORMAL,279,38,2024-03-31T20:12:13,Allequippa St & Darragh St,2024-03-31T20:16:52,28,Fifth Ave & S Bouquet St,MEMBER
139,NORMAL,282,38,2024-03-31T20:12:09,Allequippa St & Darragh St,2024-03-31T20:16:51,28,Fifth Ave & S Bouquet St,MEMBER
140,NORMAL,2081,24,2024-03-31T20:06:23,Penn Ave & 33rd St,2024-03-31T20:41:04,23,North Shore Trail & Fort Duquesne Bridge,CASUAL
141,NORMAL,127,13,2024-03-31T20:04:38,S Bouquet Ave & Sennott St,2024-03-31T20:06:45,50,Atwood St & Bates St,MEMBER
142,NORMAL,191,50,2024-03-31T20:02:35,Atwood St & Bates St,2024-03-31T20:05:46,13,S Bouquet Ave & Sennott St,MEMBER
143,NORMAL,125,13,2024-03-31T20:02:31,S Bouquet Ave & Sennott St,2024-03-31T20:04:36,50,Atwood St & Bates St,MEMBER
144,NORMAL,538,49,2024-03-31T20:01:52,Technology Dr & Bates St,2024-03-31T20:10:50,51,Coltart Ave & Forbes Ave,MEMBER
145,NORMAL,108,13,2024-03-31T19:58:23,S Bouquet Ave & Sennott St,2024-03-31T20:00:11,50,Atwood St & Bates St,MEMBER
146,NORMAL,1804,33,2024-03-31T19:53:39,Schenley Dr & Schenley Dr Ext,2024-03-31T20:23:43,33,Schenley Dr & Schenley Dr Ext,MEMBER
147,NORMAL,438,13,2024-03-31T19:53:32,S Bouquet Ave & Sennott St,2024-03-31T20:00:50,20,Boulevard of the Allies & Parkview Ave,MEMBER
148,NORMAL,1781,29,2024-03-31T19:53:09,Forbes Ave & Schenley Dr,2024-03-31T20:22:50,33,Schenley Dr & Schenley Dr Ext,MEMBER
149,NORMAL,729,21,2024-03-31T19:52:54,Liberty Ave & Stanwix St,2024-03-31T20:05:03,27,W Station Square Dr & Bessemer Court,MEMBER
150,NORMAL,478,13,2024-03-31T19:52:49,S Bouquet Ave & Sennott St,2024-03-31T20:00:47,20,Boulevard of the Allies & Parkview Ave,MEMBER
151,NORMAL,426,13,2024-03-31T19:52:37,S Bouquet Ave & Sennott St,2024-03-31T19:59:43,38,Allequippa St & Darragh St,MEMBER
152,NORMAL,936,37,2024-03-31T19:52:01,S Negley Ave & Centre Ave,2024-03-31T20:07:37,12,O'Hara St and University Place,MEMBER
153,NORMAL,97,27,2024-03-31T19:52:00,W Station Square Dr & Bessemer Court,2024-03-31T19:53:37,8,Glasshouse,MEMBER
154,NORMAL,972,37,2024-03-31T19:51:35,S Negley Ave & Centre Ave,2024-03-31T20:07:47,12,O'Hara St and University Place,MEMBER
155,NORMAL,977,37,2024-03-31T19:51:35,S Negley Ave & Centre Ave,2024-03-31T20:07:52,12,O'Hara St and University Place,MEMBER
156,NORMAL,993,37,2024-03-31T19:51:15,S Negley Ave & Centre Ave,2024-03-31T20:07:48,12,O'Hara St and University Place,MEMBER
157,NORMAL,994,37,2024-03-31T19:51:13,S Negley Ave & Centre Ave,2024-03-31T20:07:47,12,O'Hara St and University Place,MEMBER
158,NORMAL,83,21,2024-03-31T19:50:47,Liberty Ave & Stanwix St,2024-03-31T19:52:10,21,Liberty Ave & Stanwix St,MEMBER
159,NORMAL,121,50,2024-03-31T19:50:38,Atwood St & Bates St,2024-03-31T19:52:39,20,Boulevard of the Allies & Parkview Ave,MEMBER
160,NORMAL,72,29,2024-03-31T19:48:28,Forbes Ave & Schenley Dr,2024-03-31T19:49:40,33,Schenley Dr & Schenley Dr Ext,MEMBER
161,NORMAL,67,29,2024-03-31T19:48:17,Forbes Ave & Schenley Dr,2024-03-31T19:49:24,33,Schenley Dr & Schenley Dr Ext,MEMBER
162,NORMAL,1782,22,2024-03-31T19:47:19,Forbes Ave & Market Square,2024-03-31T20:17:01,21,Liberty Ave & Stanwix St,MEMBER
163,NORMAL,1794,22,2024-03-31T19:47:07,Forbes Ave & Market Square,2024-03-31T20:17:01,21,Liberty Ave & Stanwix St,MEMBER
164,NORMAL,1423,38,2024-03-31T19:46:30,Allequippa St & Darragh St,2024-03-31T20:10:13,38,Allequippa St & Darragh St,MEMBER
165,NORMAL,1438,38,2024-03-31T19:46:29,Allequippa St & Darragh St,2024-03-31T20:10:27,38,Allequippa St & Darragh St,MEMBER
166,NORMAL,238,11,2024-03-31T19:45:45,Ellsworth Ave & N Neville St,2024-03-31T19:49:43,29,Forbes Ave & Schenley Dr,MEMBER
167,NORMAL,3847,45,2024-03-31T19:43:29,N Braddock Ave & Hamilton Ave,2024-03-31T20:47:36,14,Tioga St & N Homewood Ave,CASUAL
168,NORMAL,1568,21,2024-03-31T19:43:10,Liberty Ave & Stanwix St,2024-03-31T20:09:18,13,S Bouquet Ave & Sennott St,MEMBER
169,NORMAL,1867,20,2024-03-31T19:41:48,Boulevard of the Allies & Parkview Ave,2024-03-31T20:12:55,30,Shady Ave & Ellsworth Ave,MEMBER
170,NORMAL,229,28,2024-03-31T19:41:40,Fifth Ave & S Bouquet St,2024-03-31T19:45:29,10,Zulema St & Coltart Ave,MEMBER
171,NORMAL,1884,20,2024-03-31T19:41:38,Boulevard of the Allies & Parkview Ave,2024-03-31T20:13:02,30,Shady Ave & Ellsworth Ave,MEMBER
172,NORMAL,1377,13,2024-03-31T19:38:00,S Bouquet Ave & Sennott St,2024-03-31T20:00:57,13,S Bouquet Ave & Sennott St,MEMBER
173,NORMAL,855,22,2024-03-31T19:36:27,Forbes Ave & Market Square,2024-03-31T19:50:42,5,Allegheny Station,MEMBER
174,NORMAL,155,13,2024-03-31T19:35:48,S Bouquet Ave & Sennott St,2024-03-31T19:38:23,10,Zulema St & Coltart Ave,MEMBER
175,NORMAL,387,10,2024-03-31T19:35:11,Zulema St & Coltart Ave,2024-03-31T19:41:38,38,Allequippa St & Darragh St,MEMBER
176,NORMAL,340,52,2024-03-31T19:34:17,Bedford Ave & Memory Ln,2024-03-31T19:39:57,41,S 22nd St & Sidney St,MEMBER
177,NORMAL,424,20,2024-03-31T19:31:03,Boulevard of the Allies & Parkview Ave,2024-03-31T19:38:07,12,O'Hara St and University Place,MEMBER
178,NORMAL,189,20,2024-03-31T19:30:35,Boulevard of the Allies & Parkview Ave,2024-03-31T19:33:44,13,S Bouquet Ave & Sennott St,MEMBER
179,NORMAL,456,20,2024-03-31T19:30:32,Boulevard of the Allies & Parkview Ave,2024-03-31T19:38:08,12,O'Hara St and University Place,MEMBER
180,NORMAL,105,50,2024-03-31T19:30:22,Atwood St & Bates St,2024-03-31T19:32:07,13,S Bouquet Ave & Sennott St,MEMBER
181,NORMAL,1032,26,2024-03-31T19:29:08,S 27th St & Sidney St. (Southside Works),2024-03-31T19:46:20,13,S Bouquet Ave & Sennott St,MEMBER
