stop_name,latitude,longitude,total_ons
ST JOSEPH ST AT OTTILLA ST,40.4135,-79.9817,58.0
ST JOSEPH ST AT OTTILLA ST,40.4135,-79.9817,42.0
ST JOSEPH ST AT OTTILLA ST,40.4135,-79.9817,797.0
WEST BUSWAY AT IDLEWOOD STATION A,40.4261,-80.0729,3.0
WEST BUSWAY AT IDLEWOOD STATION A,40.4261,-80.0729,5.0
WEST BUSWAY AT IDLEWOOD STATION A,40.4261,-80.0729,50.0
WEST BUSWAY AT IDLEWOOD STATION B,40.4263,-80.0727,5.0
WEST BUSWAY AT IDLEWOOD STATION B,40.4263,-80.0727,15.0
WEST BUSWAY AT IDLEWOOD STATION B,40.4263,-80.0727,35.0
WEST BUSWAY AT IDLEWOOD STATION B,40.4263,-80.0727,0.0
WEST BUSWAY AT IDLEWOOD STATION B,40.4263,-80.0727,6.0
SPRING GARDEN AVE AT WILLIAMS RD,40.4773,-79.9936,0.0
RIALTO ST OPP WICKLINES LN,40.4672,-79.9829,0.0
RIALTO ST OPP WICKLINES LN,40.4672,-79.9829,2.0
STRANAHAN ST AT BRUSHTON AVE,40.4613,-79.8885,1.0
STRANAHAN ST AT BRUSHTON AVE,40.4613,-79.8885,36.0
FRANKSTOWN RD AT EYMARD ST FS,40.4605,-79.8729,9.0
FRANKSTOWN RD AT EYMARD ST FS,40.4605,-79.8729,1.0
FRANKSTOWN RD AT EYMARD ST FS,40.4605,-79.8729,52.0
FRANKSTOWN RD OPP WOODS RD,40.4597,-79.8739,6.0
FRANKSTOWN RD OPP WOODS RD,40.4597,-79.8739,7.0
FRANKSTOWN RD OPP WOODS RD,40.4597,-79.8739,38.0
FRANKSTOWN RD AT EAST HILLS DR NS,40.4611,-79.8705,0.0
FRANKSTOWN RD AT EAST HILLS DR NS,40.4611,-79.8705,0.0
FRANKSTOWN RD AT EAST HILLS DR NS,40.4611,-79.8705,37.0
STEUBEN ST AT STRATMORE ST FS,40.4431,-80.0578,139.0
STEUBEN ST AT CUMBERLAND ST FS,40.4421,-80.0606,32.0
RODENBAUGH AVE AT IVORY AVE FS,40.4972,-80.018,0.0
RODENBAUGH AVE AT IVORY AVE FS,40.4972,-80.018,0.0
IVORY AVE OPP RODENBAUGH AVE FS,40.4973,-80.0177,0.0
IVORY AVE OPP RODENBAUGH AVE FS,40.4973,-80.0177,11.0
PERRYSVILLE AVE OPP CONNIE DR,40.4963,-80.0199,5.0
PERRYSVILLE AVE OPP CONNIE DR,40.4963,-80.0199,7.0
PERRYSVILLE AVE OPP CONNIE DR,40.4963,-80.0199,28.0
WEST LIBERTY AVE AT BLAINE ST,40.3968,-80.0305,12.0
WEST LIBERTY AVE AT BLAINE ST,40.3968,-80.0305,5.0
WEST LIBERTY AVE AT BLAINE ST,40.3968,-80.0305,111.0
FREEPORT RD AT BRILLIANT AVE,40.4889,-79.901,5.0
FREEPORT RD AT BRILLIANT AVE,40.4889,-79.901,1.0
FREEPORT RD AT BRILLIANT AVE,40.4889,-79.901,57.0
FREEPORT RD AT BRILLIANT AVE,40.4889,-79.901,2.0
FREEPORT RD AT BRILLIANT AVE,40.4889,-79.901,11.0
FREEPORT RD AT BRILLIANT AVE,40.4889,-79.901,158.0
FREEPORT RD AT BRILLIANT AVE,40.4889,-79.901,11.0
FREEPORT RD AT BRILLIANT AVE,40.4889,-79.901,8.0
FREEPORT RD AT BRILLIANT AVE,40.4889,-79.901,156.0
FREEPORT RD AT CENTER AVE (ASPINWALL),40.4899,-79.9049,7.0
FREEPORT RD AT CENTER AVE (ASPINWALL),40.4899,-79.9049,12.0
FREEPORT RD AT CENTER AVE (ASPINWALL),40.4899,-79.9049,98.0
FREEPORT RD AT CENTER AVE (ASPINWALL),40.4899,-79.9049,16.0
FREEPORT RD AT CENTER AVE (ASPINWALL),40.4899,-79.9049,13.0
FREEPORT RD AT CENTER AVE (ASPINWALL),40.4899,-79.9049,289.0
FREEPORT RD AT CENTER AVE (ASPINWALL),40.4899,-79.9049,16.0
FREEPORT RD AT CENTER AVE (ASPINWALL),40.4899,-79.9049,58.0
FREEPORT RD AT CENTER AVE (ASPINWALL),40.4899,-79.9049,211.0
FREEPORT RD AT DELAFIELD AVE FS,40.488,-79.898,4.0
FREEPORT RD AT DELAFIELD AVE FS,40.488,-79.898,9.0
FREEPORT RD AT DELAFIELD AVE FS,40.488,-79.898,111.0
FREEPORT RD AT DELAFIELD AVE FS,40.488,-79.898,10.0
FREEPORT RD AT DELAFIELD AVE FS,40.488,-79.898,10.0
FREEPORT RD AT DELAFIELD AVE FS,40.488,-79.898,247.0
FREEPORT RD AT DELAFIELD AVE FS,40.488,-79.898,13.0
FREEPORT RD AT DELAFIELD AVE FS,40.488,-79.898,12.0
FREEPORT RD AT DELAFIELD AVE FS,40.488,-79.898,215.0
FREEPORT RD AT EASTERN AVE,40.4894,-79.9032,6.0
FREEPORT RD AT EASTERN AVE,40.4894,-79.9032,2.0
FREEPORT RD AT EASTERN AVE,40.4894,-79.9032,25.0
FREEPORT RD AT EASTERN AVE,40.4894,-79.9032,7.0
FREEPORT RD AT EASTERN AVE,40.4894,-79.9032,3.0
FREEPORT RD AT EASTERN AVE,40.4894,-79.9032,85.0
FREEPORT RD AT EASTERN AVE,40.4894,-79.9032,3.0
FREEPORT RD AT EASTERN AVE,40.4894,-79.9032,5.0
FREEPORT RD AT EASTERN AVE,40.4894,-79.9032,71.0
FREEPORT RD AT VIRGINIA AVE FS,40.4885,-79.8996,1.0
FREEPORT RD AT VIRGINIA AVE FS,40.4885,-79.8996,0.0
FREEPORT RD AT VIRGINIA AVE FS,40.4885,-79.8996,5.0
FREEPORT RD AT VIRGINIA AVE FS,40.4885,-79.8996,2.0
FREEPORT RD AT VIRGINIA AVE FS,40.4885,-79.8996,0.0
FREEPORT RD AT VIRGINIA AVE FS,40.4885,-79.8996,27.0
FREEPORT RD AT VIRGINIA AVE FS,40.4885,-79.8996,0.0
FREEPORT RD AT VIRGINIA AVE FS,40.4885,-79.8996,0.0
FREEPORT RD AT VIRGINIA AVE FS,40.4885,-79.8996,36.0
FREEPORT RD AT WESTERN AVE,40.4907,-79.9074,8.0
FREEPORT RD AT WESTERN AVE,40.4907,-79.9074,7.0
FREEPORT RD AT WESTERN AVE,40.4907,-79.9074,101.0
FREEPORT RD AT WESTERN AVE,40.4907,-79.9074,34.0
FREEPORT RD AT WESTERN AVE,40.4907,-79.9074,18.0
FREEPORT RD AT WESTERN AVE,40.4907,-79.9074,307.0
FREEPORT RD AT WESTERN AVE,40.4907,-79.9074,16.0
FREEPORT RD AT WESTERN AVE,40.4907,-79.9074,22.0
FREEPORT RD AT WESTERN AVE,40.4907,-79.9074,299.0
FREEPORT RD OPP CENTER AVE,40.49,-79.9056,2.0
FREEPORT RD OPP CENTER AVE,40.49,-79.9056,3.0
FREEPORT RD OPP CENTER AVE,40.49,-79.9056,14.0
FREEPORT RD OPP CENTER AVE,40.49,-79.9056,1.0
FREEPORT RD OPP CENTER AVE,40.49,-79.9056,1.0
FREEPORT RD OPP CENTER AVE,40.49,-79.9056,10.0
FREEPORT RD OPP CENTER AVE,40.49,-79.9056,1.0
FREEPORT RD OPP CENTER AVE,40.49,-79.9056,27.0
FREEPORT RD OPP CENTER AVE,40.49,-79.9056,23.0
FREEPORT RD OPP EASTERN AVE,40.4895,-79.9036,8.0
FREEPORT RD OPP EASTERN AVE,40.4895,-79.9036,8.0
FREEPORT RD OPP EASTERN AVE,40.4895,-79.9036,42.0
FREEPORT RD OPP EASTERN AVE,40.4895,-79.9036,1.0
FREEPORT RD OPP EASTERN AVE,40.4895,-79.9036,1.0
FREEPORT RD OPP EASTERN AVE,40.4895,-79.9036,11.0
FREEPORT RD OPP EASTERN AVE,40.4895,-79.9036,10.0
FREEPORT RD OPP EASTERN AVE,40.4895,-79.9036,5.0
FREEPORT RD OPP EASTERN AVE,40.4895,-79.9036,14.0
FREEPORT RD OPP WESTERN AVE,40.4906,-79.9075,10.0
FREEPORT RD OPP WESTERN AVE,40.4906,-79.9075,4.0
FREEPORT RD OPP WESTERN AVE,40.4906,-79.9075,55.0
FREEPORT RD OPP WESTERN AVE,40.4906,-79.9075,4.0
FREEPORT RD OPP WESTERN AVE,40.4906,-79.9075,1.0
FREEPORT RD OPP WESTERN AVE,40.4906,-79.9075,22.0
FREEPORT RD OPP WESTERN AVE,40.4906,-79.9075,13.0
FREEPORT RD OPP WESTERN AVE,40.4906,-79.9075,11.0
FREEPORT RD OPP WESTERN AVE,40.4906,-79.9075,60.0
AVALON LOOP AT CALIFORNIA AVE FS,40.5037,-80.0744,109.0
AVALON LOOP AT CALIFORNIA AVE FS,40.5037,-80.0744,101.0
AVALON LOOP AT CALIFORNIA AVE FS,40.5037,-80.0744,895.0
CALIFORNIA AVE AT BIRMINGHAM AVE,40.5019,-80.0694,54.0
CALIFORNIA AVE AT BIRMINGHAM AVE,40.5019,-80.0694,40.0
CALIFORNIA AVE AT BIRMINGHAM AVE,40.5019,-80.0694,399.0
CALIFORNIA AVE AT BIRMINGHAM AVE,40.5019,-80.0694,211.0
CALIFORNIA AVE AT BIRMINGHAM AVE,40.5018,-80.069,0.0
CALIFORNIA AVE AT BIRMINGHAM AVE,40.5018,-80.069,3.0
CALIFORNIA AVE AT BIRMINGHAM AVE,40.5018,-80.069,6.0
CALIFORNIA AVE AT BIRMINGHAM AVE,40.5018,-80.069,3.0
CALIFORNIA AVE AT CHESTNUT ST,40.5002,-80.066,73.0
CALIFORNIA AVE AT CHESTNUT ST,40.5002,-80.066,73.0
CALIFORNIA AVE AT CHESTNUT ST,40.5002,-80.066,610.0
CALIFORNIA AVE AT CHESTNUT ST,40.5002,-80.066,266.0
CALIFORNIA AVE AT CHESTNUT ST,40.5001,-80.0655,0.0
CALIFORNIA AVE AT CHESTNUT ST,40.5001,-80.0655,0.0
CALIFORNIA AVE AT CHESTNUT ST,40.5001,-80.0655,4.0
CALIFORNIA AVE AT CHESTNUT ST,40.5001,-80.0655,1.0
CALIFORNIA AVE OPP ELIZABETH AVE,40.4992,-80.0633,4.0
CALIFORNIA AVE OPP ELIZABETH AVE,40.4992,-80.0633,3.0
CALIFORNIA AVE OPP ELIZABETH AVE,40.4992,-80.0633,30.0
CALIFORNIA AVE OPP ELIZABETH AVE,40.4992,-80.0633,6.0
CALIFORNIA AVE AT ELIZABETH AVE FS,40.4992,-80.0635,79.0
CALIFORNIA AVE AT ELIZABETH AVE FS,40.4992,-80.0635,85.0
CALIFORNIA AVE AT ELIZABETH AVE FS,40.4992,-80.0635,692.0
CALIFORNIA AVE AT ELIZABETH AVE FS,40.4992,-80.0635,163.0
CALIFORNIA AVE AT FISK AVE,40.5032,-80.0725,4.0
CALIFORNIA AVE AT FISK AVE,40.5032,-80.0725,3.0
CALIFORNIA AVE AT FISK AVE,40.5032,-80.0725,94.0
CALIFORNIA AVE AT FISK AVE,40.5032,-80.0725,17.0
CALIFORNIA AVE AT FLORENCE AVE,40.5035,-80.0746,138.0
CALIFORNIA AVE AT FLORENCE AVE,40.5035,-80.0746,104.0
CALIFORNIA AVE AT FLORENCE AVE,40.5035,-80.0746,768.0
CALIFORNIA AVE AT FLORENCE AVE,40.5035,-80.0746,183.0
CALIFORNIA AVE AT HOME AVE,40.4986,-80.062,74.0
CALIFORNIA AVE AT HOME AVE,40.4986,-80.062,89.0
CALIFORNIA AVE AT HOME AVE,40.4986,-80.062,812.0
CALIFORNIA AVE AT HOME AVE,40.4986,-80.062,341.0
CALIFORNIA AVE AT HOME AVE,40.4986,-80.0617,4.0
CALIFORNIA AVE AT HOME AVE,40.4986,-80.0617,1.0
CALIFORNIA AVE AT HOME AVE,40.4986,-80.0617,39.0
CALIFORNIA AVE AT HOME AVE,40.4986,-80.0617,0.0
CALIFORNIA AVE AT OHIO ST,40.5026,-80.0712,0.0
CALIFORNIA AVE AT OHIO ST,40.5026,-80.0712,4.0
CALIFORNIA AVE AT OHIO ST,40.5026,-80.0712,5.0
CALIFORNIA AVE AT OHIO ST,40.5026,-80.0712,1.0
CALIFORNIA AVE AT SCHOOL ST,40.501,-80.0671,0.0
CALIFORNIA AVE AT SCHOOL ST,40.501,-80.0671,3.0
CALIFORNIA AVE AT SCHOOL ST,40.501,-80.0671,10.0
CALIFORNIA AVE AT SCHOOL ST,40.501,-80.0671,2.0
CHURCH AVE AT VICTORIA AVE,40.5064,-80.0746,1.0
CHURCH AVE OPP VICTORIA AVE,40.5065,-80.0748,15.0
DIVISION ST AT MARIE AVE,40.5044,-80.0751,0.0
OHIO RIVER BLVD AT BIRMINGHAM AVE STEPS,40.4991,-80.0716,28.0
OHIO RIVER BLVD AT BIRMINGHAM AVE STEPS,40.4991,-80.0716,47.0
OHIO RIVER BLVD AT BIRMINGHAM AVE STEPS,40.4991,-80.0716,245.0
OHIO RIVER BLVD AT BIRMINGHAM AVE STEPS,40.4992,-80.0714,7.0
OHIO RIVER BLVD AT BIRMINGHAM AVE STEPS,40.4992,-80.0714,4.0
OHIO RIVER BLVD AT BIRMINGHAM AVE STEPS,40.4992,-80.0714,33.0
OHIO RIVER BLVD AT EAT-N-PARK,40.4941,-80.0643,21.0
OHIO RIVER BLVD AT EAT-N-PARK,40.4941,-80.0643,21.0
OHIO RIVER BLVD AT EAT-N-PARK,40.4941,-80.0643,170.0
OHIO RIVER BLVD AT ELIZABETH AVE FS,40.496,-80.0672,13.0
OHIO RIVER BLVD AT ELIZABETH AVE FS,40.496,-80.0672,2.0
OHIO RIVER BLVD AT ELIZABETH AVE FS,40.496,-80.0672,68.0
OHIO RIVER BLVD AT FISK AVE,40.5014,-80.0749,3.0
OHIO RIVER BLVD AT FISK AVE,40.5014,-80.0749,1.0
OHIO RIVER BLVD AT FISK AVE,40.5014,-80.0749,39.0
OHIO RIVER BLVD AT HARRISON AVE,40.5005,-80.0734,0.0
OHIO RIVER BLVD AT HARRISON AVE,40.5005,-80.0734,0.0
OHIO RIVER BLVD AT HARRISON AVE,40.5005,-80.0734,17.0
OHIO RIVER BLVD AT LOCUST ST,40.4977,-80.0696,0.0
OHIO RIVER BLVD AT LOCUST ST,40.4977,-80.0696,0.0
OHIO RIVER BLVD AT LOCUST ST,40.4977,-80.0696,14.0
OHIO RIVER BLVD AT THRIFT STORE,40.4952,-80.0659,14.0
OHIO RIVER BLVD AT THRIFT STORE,40.4952,-80.0659,12.0
OHIO RIVER BLVD AT THRIFT STORE,40.4952,-80.0659,100.0
OHIO RIVER BLVD OPP EAT-N-PARK,40.4943,-80.0643,4.0
OHIO RIVER BLVD OPP EAT-N-PARK,40.4943,-80.0643,1.0
OHIO RIVER BLVD OPP EAT-N-PARK,40.4943,-80.0643,14.0
OHIO RIVER BLVD OPP ELIZABETH AVE,40.4959,-80.0674,35.0
OHIO RIVER BLVD OPP ELIZABETH AVE,40.4959,-80.0674,24.0
OHIO RIVER BLVD OPP ELIZABETH AVE,40.4959,-80.0674,329.0
OHIO RIVER BLVD OPP HARRISON AVE,40.5004,-80.0736,14.0
OHIO RIVER BLVD OPP HARRISON AVE,40.5004,-80.0736,18.0
OHIO RIVER BLVD OPP HARRISON AVE,40.5004,-80.0736,84.0
CALIFORNIA AVE AT AVALON LOOP,40.5035,-80.0742,8.0
CALIFORNIA AVE AT AVALON LOOP,40.5035,-80.0742,32.0
CALIFORNIA AVE AT AVALON LOOP,40.5035,-80.0742,118.0
CALIFORNIA AVE AT AVALON LOOP,40.5035,-80.0742,2.0
OHIO RIVER BLVD OPP LOCUST ST,40.4978,-80.0699,8.0
OHIO RIVER BLVD OPP LOCUST ST,40.4978,-80.0699,8.0
OHIO RIVER BLVD OPP LOCUST ST,40.4978,-80.0699,108.0
BLOSSOM RD AT LAUREL DR FS,40.3436,-79.9944,92.0
BLOSSOM RD AT LAUREL DR,40.3434,-79.9943,0.0
BLOSSOM RD AT MCANULTY RD,40.3439,-79.9969,51.0
BROWNSVILLE RD AT HOLLOW HAVEN DR FS,40.3435,-79.9852,1.0
BROWNSVILLE RD AT HOLLOW HAVEN DR FS,40.3435,-79.9852,13.0
BROWNSVILLE RD OPP HOLLOW HAVEN DR,40.3436,-79.9851,0.0
BROWNSVILLE RD OPP HOLLOW HAVEN DR,40.3436,-79.9851,82.0
CURRY RD OPP #5415,40.3389,-79.991,0.0
CURRY RD AT OLYMPIC RD,40.3404,-79.991,0.0
GARDENVILLE RD AT CHARLOTTE DR,40.3456,-80.0069,43.0
CURRY RD AT HORNING RD,40.3373,-79.9914,0.0
CURRY RD OPP OLYMPIC RD,40.3402,-79.9909,11.0
CURRY RD OPP LAUREL DR,40.3443,-79.9921,51.0
CURRY RD AT #5415,40.3391,-79.9909,15.0
GARDENVILLE RD AT BAPTIST RD FS,40.3515,-80.0105,0.0
GARDENVILLE RD AT CROSS ST,40.3499,-80.0082,0.0
GARDENVILLE RD AT KOEFFLER DR,40.3478,-80.0076,46.0
GARDENVILLE RD AT KOEFFLER DR,40.348,-80.0077,0.0
GARDENVILLE RD OPP CHARLOTTE DR,40.3458,-80.007,5.0
GARDENVILLE RD OPP CROSS ST,40.3499,-80.0082,10.0
HWY RT 51 AT GRACE ST,40.344,-79.9717,10.0
HWY RT 51 AT GRACE ST,40.344,-79.9717,32.0
HWY RT 51 AT GRACE ST,40.344,-79.9717,44.0
HWY RT 51 AT GRACE ST,40.344,-79.9717,6.0
HWY RT 51 AT GRACE ST,40.344,-79.9717,8.0
HWY RT 51 AT GRACE ST,40.344,-79.9717,12.0
HWY RT 51 AT GRACE ST,40.344,-79.9717,78.0
HWY RT 51 OPP IRWIN DR,40.3435,-79.9703,4.0
HWY RT 51 OPP IRWIN DR,40.3435,-79.9703,8.0
HWY RT 51 OPP IRWIN DR,40.3435,-79.9703,29.0
HWY RT 51 OPP IRWIN DR,40.3435,-79.9703,8.0
HWY RT 51 OPP IRWIN DR,40.3435,-79.9703,7.0
HWY RT 51 OPP IRWIN DR,40.3435,-79.9703,53.0
HWY RT 51 AT IRWIN DR FS,40.3436,-79.9702,15.0
HWY RT 51 AT IRWIN DR FS,40.3436,-79.9702,37.0
HWY RT 51 AT IRWIN DR FS,40.3436,-79.9702,66.0
HWY RT 51 AT IRWIN DR FS,40.3436,-79.9702,6.0
HWY RT 51 AT IRWIN DR FS,40.3436,-79.9702,16.0
HWY RT 51 AT IRWIN DR FS,40.3436,-79.9702,63.0
HWY RT 51 AT MAXWELL DR NS,40.3496,-79.9759,2.0
HWY RT 51 AT MAXWELL DR NS,40.3496,-79.9759,3.0
HWY RT 51 AT MAXWELL DR NS,40.3496,-79.9759,2.0
HWY RT 51 AT MAXWELL DR NS,40.3496,-79.9759,1.0
HWY RT 51 AT MAXWELL DR NS,40.3496,-79.9759,2.0
HWY RT 51 AT MAXWELL DR NS,40.3496,-79.9759,23.0
HWY RT 51 AT STREETS RUN RD,40.3462,-79.9733,34.0
HWY RT 51 AT STREETS RUN RD,40.3462,-79.9733,22.0
HWY RT 51 AT STREETS RUN RD,40.3462,-79.9733,114.0
